client,document_type,created_at,segment
859,11,2019-12-01,B
860,14,2021-07-01,M
861,14,2018-06-01,B
862,11,2022-11-01,K
863,11,2021-01-01,N
864,11,2022-10-01,O
865,14,2019-05-01,N
866,11,2021-03-01,I
867,11,2021-06-01,F
868,11,2021-01-01,K
869,11,2020-09-01,N
870,11,2020-09-01,B
871,11,2021-08-01,N
872,11,2021-07-01,I
873,14,2019-03-01,E
874,11,2022-02-01,M
875,11,2020-08-01,O
876,14,2021-11-01,K
877,11,2022-02-01,B
878,11,2022-03-01,B
879,14,2020-07-01,E
880,11,2021-03-01,I
881,14,2022-11-01,M
882,11,2019-06-01,O
883,11,2021-11-01,B
884,11,2019-09-01,J
885,11,2020-12-01,O
886,14,2017-11-01,I
887,11,2022-07-01,N
888,11,2020-02-01,O
889,14,2015-11-01,K
890,14,2015-11-01,K
891,14,2021-04-01,K
892,11,2021-08-01,F
893,14,2021-07-01,D
894,14,2020-07-01,I
895,14,2019-07-01,M
896,11,2022-12-01,K
897,11,2022-08-01,G
898,14,2020-07-01,O
899,14,2022-10-01,J
900,14,2021-11-01,E
901,14,2019-09-01,B
902,11,2021-01-01,O
903,11,2021-03-01,N
904,14,2016-08-01,J
905,11,2021-01-01,K
906,11,2022-01-01,B
907,11,2022-05-01,N
908,14,2019-08-01,I
909,11,2021-07-01,N
910,11,2022-12-01,I
911,14,2018-01-01,N
912,11,2020-12-01,O
913,11,2020-04-01,K
914,11,2021-05-01,I
915,11,2022-08-01,N
916,11,2021-08-01,I
917,11,2020-02-01,B
918,14,2021-05-01,I
919,11,2021-08-01,B
920,14,2018-09-01,L
921,11,2020-12-01,I
922,11,2021-10-01,B
923,14,2020-06-01,N
924,11,2021-10-01,K
925,11,2022-11-01,F
926,14,2022-08-01,H
927,11,2021-06-01,B
928,11,2021-05-01,I
929,11,2022-06-01,B
930,11,2022-05-01,O
931,11,2020-09-01,O
932,11,2021-10-01,O
933,11,2021-11-01,N
934,11,2022-10-01,E
935,11,2022-09-01,I
936,11,2022-01-01,F
937,14,2020-02-01,K
938,14,2022-12-01,G
939,14,2019-08-01,M
940,11,2021-06-01,I
941,14,2019-09-01,N
942,14,2019-09-01,I
943,11,2022-12-01,B
944,11,2020-12-01,H
945,14,2022-01-01,A
946,11,2022-06-01,K
947,11,2020-04-01,F
948,11,2021-11-01,B
949,11,2021-05-01,O
950,11,2021-05-01,H
951,14,2021-08-01,K
952,11,2021-10-01,I
953,11,2021-06-01,I
954,11,2022-05-01,M
955,11,2018-12-01,B
956,11,2021-10-01,I
957,11,2021-08-01,M
958,14,2019-06-01,I
959,11,2021-12-01,B
960,11,2019-03-01,N
961,14,2021-07-01,J
962,11,2022-08-01,I
963,11,2022-09-01,K
964,11,2020-11-01,M
965,11,2022-07-01,O
966,11,2021-04-01,I
967,14,2020-10-01,N
968,14,2016-12-01,O
969,14,2018-04-01,O
970,11,2020-04-01,M
971,11,2021-11-01,F
972,11,2019-02-01,M
973,14,2020-02-01,K
974,11,2020-05-01,K
975,11,2022-06-01,G
976,11,2020-03-01,M
977,14,2017-08-01,I
978,14,2020-08-01,D
979,11,2019-12-01,I
980,14,2021-06-01,E
981,11,2021-03-01,O
982,14,2022-06-01,I
983,11,2021-01-01,N
984,14,2019-03-01,F
985,14,2020-01-01,E
986,11,2021-08-01,I
987,11,2020-04-01,N
988,11,2021-03-01,F
989,14,2022-04-01,M
990,11,2019-12-01,I
991,14,2021-04-01,E
992,11,2018-01-01,E
993,11,2022-02-01,B
994,14,2016-11-01,I
995,11,2022-08-01,O
996,11,2020-10-01,I
997,11,2021-06-01,I
998,11,2021-08-01,B
999,11,2019-04-01,O
1000,14,2021-05-01,J
1001,11,2020-05-01,K
1002,11,2020-11-01,O
1003,11,2021-03-01,I
1004,14,2021-09-01,O
1005,14,2020-06-01,B
1006,14,2019-09-01,E
1007,11,2022-05-01,O
1008,11,2021-02-01,I
1009,14,2022-11-01,D
1010,11,2020-12-01,F
1011,11,2021-01-01,F
1012,14,2018-07-01,L
1013,11,2020-02-01,O
1014,14,2020-09-01,H
1015,11,2021-01-01,I
1016,11,2022-02-01,I
1017,14,2018-05-01,N
1018,14,2022-09-01,J
1019,14,2019-07-01,C
1020,14,2021-07-01,F
1021,11,2021-07-01,B
1022,14,2021-09-01,M
1023,11,2021-03-01,K
1024,14,2017-10-01,B
1025,11,2021-04-01,I
1026,11,2019-08-01,B
1027,11,2020-07-01,I
1028,14,2018-05-01,O
1029,11,2020-06-01,F
1030,14,2018-03-01,I
1031,14,2019-11-01,O
1032,11,2021-01-01,I
1033,14,2021-05-01,E
1034,14,2017-11-01,F
1035,14,2022-03-01,K
1036,14,2022-05-01,K
1037,14,2022-03-01,K
1038,14,2019-01-01,K
1039,11,2021-11-01,J
1040,11,2021-08-01,I
1041,11,2021-05-01,O
1042,11,2022-08-01,I
1043,11,2020-03-01,O
1044,11,2022-05-01,I
1045,14,2015-12-01,F
1046,11,2022-07-01,K
1047,11,2022-03-01,B
1048,11,2020-11-01,E
1049,14,2020-01-01,O
1050,14,2021-12-01,K
1051,11,2021-03-01,B
1052,11,2022-03-01,O
1053,14,2019-02-01,O
1054,11,2021-03-01,O
1055,11,2022-09-01,G
1056,11,2021-10-01,I
1057,11,2019-04-01,O
1058,11,2021-01-01,I
1059,11,2019-12-01,O
1060,11,2021-02-01,K
1061,14,2021-12-01,E
1062,11,2020-07-01,I
1063,11,2020-06-01,I
1064,14,2020-06-01,I
1065,11,2021-11-01,B
1066,11,2022-10-01,I
1067,11,2021-04-01,I
1068,11,2021-07-01,K
1069,11,2021-12-01,B
